,Name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,8.6,2.1,1.71´
2,Canopus,310,15,71
3,Alpha Centauri,4.4,1.1,1.2
4,Arcturus,37,1.1,26
5,Vega,25,2.2,2.7
6,Capella,43,2.6,12
7,Rigel,860,23,78.9
8,Procyon,11.4,1.5,1.9
10,Achernar,144,6.7,9.3
11,Hadar,390,10.5,8.6
12,Altair,17,1.8,1.8
13,Acrux,320,18,8.9
14,Aldebaran,65,1.5,44
15,Antares,600,12,680
16,Spica,260,11.43,7.47
17,Pollux,34,1.9,8.8
18,Fomalhaut,25,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,350,16,8.4
21,Regulus,77,3.8,3.1
22,Adhara,430,12.5,14
23,Shaula,700,14.5,8.8
24,Castor,52,2.8,2.4
25,Gacrux,88,1.5,84
26,Bellatrix,240,8.6,5.8
27,Elnath,130,5.0,4.2
28,Miaplacidus,110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma Velorum,"1,100",9.0,6
31,Alnair,101,4.0,3.4
32,Alioth,81,2.9,4.2
33,Alnitak,1050,33,20
34,Dubhe,120,4.25,30
35,Mirfak,590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,270,5.7,26
38,Kaus Australis,140,3.5,6.8
39,Avior,630,9.0,130
40,Alkaid,104,6.1,3.4
41,Menkalinan,81,2.39,2.77
42,Atria,390,7,92
43,Alhena,109,2.8,3.3
44,Peacock,180,5.9,4.8
45,Alsephina,80,2.4,2.9
46,Mirzam,500,13.5,10
47,Polaris,430,5.4,39
48,Alphard,180,3.0,50
49,Mintaka,1200,24,16.5
50,Scheat,196,2.1,95
51,Almaaz,653,15,140
52,Rasalgethi,360,2.8,280
53,Tau Ceti,11.9,0.783,0.893
54,Delta Pavonis,19.92,0.991,1.22
55,Ran,10.48,0.82,0.74
56,V382 Carinae,"8,900",20,485
57,Eta Carinae,"7,500",100,60–881
58,Delta Cephei,887,4.5,44.5
59,Mu Cephei,"6,000",19.2,972
60,Titawin,44.25,1.27,1.48
61,Rho Cassiopeiae,"8,154",22,636-981
62,P Cygni,"5,545",30,76
64,VV Cephei,"4,900",18.2,"516 - 1,050"
65,61 Cygni,11.41,0.7,0.665
66,R Doradus,178,0.7 - 1.0,298
67,Polaris Australis,281,1.59,3.74
68,R Coronae Borealis,"4,566",0.85,85
69,54 Piscium,36.1,0.76,0.94
70,Mira,300,1.2,370
71,RW Cephei,"14,000",13.9,"1,158"
72,Lacaille 8760,12.87,0.6,0.51
73,V838 Monocerotis,"19,896",?,380 - 750
74,HD 140283,190,?,1.4
75,II Pegasi,130,0.8,3.4
76,VY Canis Majoris,"3,900",17,"1,420"
77,Pistol Star,"25,000",100,320
78,S Doradus,"169,000",24,380
79,UY Scuti,"5,100",7–10,755
80,Barnard's Star,5.98,0.14,0.20
81,Luhman 16,6.52,0.04,?
82,Proxima Centauri,4.25,0.12,0.15
83,KIC 8462852,"1,470",1.43,1.58
84,R136a1,"163,000",290,32
85,Melnick 42,"163,000",189,21.1
86,WR 102,"18,134",19,0.39
87,VFTS 352,"164,000",57.48,14.47
88,YBP 1194,"2,772",1.01,0.99
89,Gliese 1214,47.5,0.16,0.21
90,NML Cygni,"5,251",50,"1,640 - 2,770"
91,VB 10,18.72,0.075,0.10
92,WOH G64,"163,000",<20,"1,540 - 1,730"
93,TRAPPIST-1,39.6,0.089,0.12
94,2MASS J0523-1403,40.3,0.07,0.086
95,WISE 0855−0714,7.27,0.003,?
96,Icarus,"14,400,000,000",33,?
97,SDSS J000013.54+255418.6,46.1,48,0.99
98,2MASS J00040288-6410358,192,19,1.63
100,2MASS J00242463-0158201,37.7,79,1.09
102,2MASS J00274197+0503417,236,31,1.44
104,2MASSW J0030300-145033,87.2,54,0.98
105,2MASS J00332386-1521309,131,29,1.43
106,2MASS J00345157+0523050,31,42,0.94
107,2MASS 0036+1821,28.6,42,0.94
108,2MASSW J0045214+163445,57,23,1.62
109,WISEP J004701.06+680352.1,40,12,1.3
110,2MASS J00501994-3322402,34,40,0.94
112,2MASS J00584253-0651239,96,29,1.43
114,2MASSI J0103320+193536,70,52,0.98
115,SDSSp J010752.33+004156.1,51,52,0.98
116,2MASSI J0117474-340325,163,20,1.62
117,2MASS J01415823-4633574,130,20,1.61
118,SDSS J015141.69+124429.6,70,47,0.97
122,SDSS J020742.48+000056.2,111,47,0.97
123,2MASS J02103857-3015313,101,15,1.53
124,2MASS J02340093-6442068,155,20,1.62
125,2MASS J02411151-0326587,152,27,1.41
126,2MASS J02431371−2453298,35,33,0.99
127,LP 771-21,53,78,1.08
129,Teegarden's star,12.578,80,1.27
130,2MASS J02535980+3206373,184,65,1.9
131,WISE J0254+0223,24,65,1.9
132,DEN 0255-4700,16.2,80,0.97
133,2MASS J03185403-3421292,45,49,0.97
134,2MASS J03205965+1854233,47,88,1.15
135,2MASS J03231002-4631237,192,23,1.66
136,SDSS J032553.17+042540.1,59,45,0.95
137,2MASS J03264225-2102057,80,18,1.3
138,2MASS J03284265+2302051,98,54,0.98
139,2MASS J03341218-4953322,27.0,73,1.04
140,LP 944-20,20.9,73,1.43
141,2MASP J0345432+254023,88,74,1.05
142,Teide 1,380,55,3.78
143,2MASS J03510004-0052452,48,102,1.27
144,2MASS J03552337+1133437,29.8,20,1.32
146,2MASS J04151954−0935066,18.6,30,0.95
148,2MASS J04285096-2253227,85,80,1.09
149,2MASS J04351612-1606574,34,100,1.26
150,2MASS J04362788-4114465,142,39,1.97
151,2MASS J04390101-2353083,29.5,48,0.97
153,2MASS J04433764+0002040,82,22,1.78
154,2MASS J04455387-3048204,42,64,1.00
155,2MASS J04510093-3402150,69,1.04,72
156,2MASS J05002100+0330501,44,64,1.00
157,2MASS J05012406-0010452,64,21,1.38
158,2MASS J05160945-0445499,73,47,0.97
159,2MASS J0523−1403,40,68,1.01
161,SDSS J053951.99-005902.0,41.62,61,1.01
163,LSR 0602+3910,34.6,28,1.41
164,2MASS J06085283-2753583,102,38,1.51
167,2MASS J06244595-4521548,39,56,0.99
168,2MASS J06411840-4322329,65,67,1.01
169,DENIS-P J0652197-253450,51,75,1.05
171,2MASS J07075327-4900503,60,72,1.03
172,UGPS J072227.51-054031.2,13.4,26,0.98
173,2MASSI J0727182+171001,29.6,41,0.94
174,2MASS J07290002-3954043,25.8,37,0.94
175,SDSS J074201.41+205520.5,49,43,0.94
177,DENIS-P J0751164-253043,55,71,1.03
178,2MASS J07522390+1612157,60,2.01,68
179,DENIS J081730.0-615520,16.1,44,0.94
182,2MASS J08251968+2115521,35,52,0.98
183,SDSSp J083008.12+482847.4,43,48,0.99
184,LHS 2021,55,88,1.15
185,SDSS J083048.80+012831.1,77,46,0.96
186,2MASSI J0835425-081923,23.53,62,1.00
187,2MASSI J0847287-153237,43,64,1.00
188,2MASS J08533619-0329321,27.6,77,1.07
189,2MASSI J0859254-194926,50,50,0.98
191,2MASSI J0937347+293142,20.0,42,0.94
192,2MASS 0939−2448,17.4,32,0.95
193,2MASS J09490860-1545485,59,49,0.96
194,2MASS J10073369-4555147,46,44,0.94
195,2MASSI J1010148-040649,55,51,0.98
198,2MASS J10224821+5825453,60,27,1.41
199,2MASSW J1036530-344138,53,49,0.97
200,2MASS J1047538+212423,34.4,42,0.94
201,DEN 1048-3956,13.15,77,1.07
202,Luhman 16,6.516,43,1.02
203,Luhman 16,6.516,40,1.01
204,DENIS-P J1058.7−1548,49,64,1.00
205,TWA 28,180,36,2.39
206,Cha 110913-773444,163,8,1.8
208,SDSS J111010.01+011613.1,63,9,1.24
209,2MASS J11145133−2618235,18.2,33,0.96
210,TWA 26,137,30,2.20
212,2MASS J11544223-3400390,129,37,1.50
213,2MASSW J1155395-372735,31,64,1.00
216,2MASS J12074836-3900043,217,17,1.71
217,2MASSI J1217110-031113,36,42,0.94
220,2M 1237+6526,45.6,41,0.94
222,TWA 29,262,2.00,25
223,SDSSp J125453.90-012247.4,38,47,0.98
224,Kelu-1,61,63,0.98
225,Kelu-1,61,58,0.98
226,2MASS J13204427+0409045,101,67,1.01
227,SDSSp J132629.82-003831.5,65,51,0.97
228,SDSSp J134646.45-003150.4,48,44,0.94
229,2MASS J13595510-4034582,51,63,1.00
230,ULAS J141623.94+134836.3,29.7,32,0.96
231,SDSS J141659.78+500626.4,149,59,0.99
232,DENIS-P J142527.97-365023.4,38,21,1.32
233,LHS 2924,38.5,76,1.06
234,2MASS J14392837+1929150,47,72,1.03
235,LSPM J1440+1339,72,92,1.19
236,2MASS J14482563+1031590,47,59,0.99
237,CFBDSIR 1458+10,104,11.1,1.5
238,CFBDSIR 1458+10,104,9,1.3
239,TVLM 513-46546,35.1,75,1.05
240,2MASS 1503+2525,20.7,44,0.94
241,CFBDS J150411+102717,71,44,0.94
242,2MASSW J1506544+132106,46,69,1.02
243,2MASS 1507−1627,23.9,60,0.99
244,TVLM 868-110639,53,79,1.08
246,2MASSW J1515008+484742,34,57,0.99
247,2MASSI J1526140+204341,67,54,0.98
248,DENIS-P J153941.96-052042.4,51,63,1.00
249,2MASS J15462718-3325111,37,44,0.94
250,2MASSW J1552591+294849,68,30,1.43
251,2MASSW J1555157-095605,44,71,1.03
252,2MASS J16150413+1340079,48,42,0.94
253,SDSSp J162414.37+002915.6,36,43,0.94
254,2MASS J16262034+3925190,110,71,1.03
255,2MASSW J1632291+190441,50,49,0.97
256,WISEPA J164715.59+563208.2,28,41,0.94
257,LSPM J1658+7027,60,73,1.04
258,2MASSI J1726000+153819,114,24,1.40
260,SDSSp J175032.96+175903.9,90,47,0.97
261,2MASS J18283572-4849046,39,45,0.95
262,LSR J1835+3259,18.5,77,1.07
263,2MASSW J1841086+311727,138,67,1.01
264,2MASS J18432213+4040209,46,96,1.22
265,2MASS J20004841-7523070,105,25,1.88
266,SDSS J204749.61-071818.3,65,46,0.96
267,2MASSI J2057540-025230,47,70,1.02
269,2MASSI J2104149-103736,62,69,1.02
270,PSO J318.5−22,80,6.5,1.53
271,HB 2124-4228,113,94,1.21
272,2MASS J21392676+0220226,32.1,46,0.96
273,2MASS J21481628+4003593,26.3,55,0.99
275,2MASSW J2206450-421721,93,22,1.33
276,2MASSW J2208136+292121,154,27,1.41
277,2MASSW J2224438-015852,38,61,0.99
278,2MASS J22282889-4310262,35,42,0.94
279,2MASS J22373255+3922398,64,73,1.04
280,2MASSW J2244316+204343,56,12,1.29
281,2MASS J23224684-3133231,56,24,1.39
282,2MASS J23225299-6151275,148,17,1.59
283,2MASS J23515044-2537367,67,88,1.16
284,2MASSI J2356547-155310,74,80,1.09
322,WISE 0410+1502,20,6,1.17
326,WISE 0458+6434,35.9,15,4.2
327,WISE 0458+6434,35.9,10,3.8
381,WISE 1405+5534,25.3,30,0.86
